id_test1,id_test2,pos_test1,pos_test2,diff_pos,cos_sim
4691,2957,t15,t29,14,-0.2159763820658002
4691,2961,t15,t30,15,-0.14595809424080744
4691,2962,t15,t31,16,-0.16673127270844493
4691,512,t15,t32,17,-0.5278821290655932
4691,2956,t15,t33,18,-0.10752774147170087
4691,2963,t15,t34,19,-0.2081685037685089
4691,2752,t15,t35,20,-0.2862875375710899
2753,2754,t16,t17,1,0.9745636262529306
2753,2755,t16,t18,2,0.9576221122853522
2753,2757,t16,t19,3,0.40093279911565405
2753,506,t16,t20,4,0.28950686314440544
2753,2959,t16,t21,5,-0.15542956683380274
2753,509,t16,t22,6,-0.08050449450365772
2753,2960,t16,t23,7,-0.3366432885937375
2753,2955,t16,t24,8,-0.37489512363971156
2753,2958,t16,t25,9,-0.11793601045053272
2753,511,t16,t26,10,-0.13840551522828104
2753,1128,t16,t27,11,-0.2255664782000216
2753,4821,t16,t28,12,-0.14803574319890606
2753,2957,t16,t29,13,-0.16380960375036283
2753,2961,t16,t30,14,-0.18949034270015683
2753,2962,t16,t31,15,-0.18506273546885055
2753,512,t16,t32,16,-0.5819448873044735
2753,2956,t16,t33,17,-0.08535156208596761
2753,2963,t16,t34,18,-0.23874879005621497
2753,2752,t16,t35,19,-0.33434096202595054
2754,2755,t17,t18,1,0.9748334081181423
2754,2757,t17,t19,2,0.4391986076265947
2754,506,t17,t20,3,0.3416581543173108
2754,2959,t17,t21,4,-0.086432501622688
2754,509,t17,t22,5,0.022100151161569676
2754,2960,t17,t23,6,-0.2761334249854921
2754,2955,t17,t24,7,-0.3085136301711671
2754,2958,t17,t25,8,-0.0038863181165998354
2754,511,t17,t26,9,-0.022006339822731074
2754,1128,t17,t27,10,-0.10845845120980474
2754,4821,t17,t28,11,-0.07561668243382416
2754,2957,t17,t29,12,-0.045837046476640046
2754,2961,t17,t30,13,-0.1017992645991516
2754,2962,t17,t31,14,-0.07262158040534362
2754,512,t17,t32,15,-0.48499337710257645
2754,2956,t17,t33,16,-0.006834378042512528
2754,2963,t17,t34,17,-0.1412728560927647
2754,2752,t17,t35,18,-0.2639495449671436
2755,2757,t18,t19,1,0.5064620552271857
